Sample_ID,TFx_C1,LOH.Score_C1,ploidy_C1,TMB_C1,genomic_instability,chr_Y_prop
FH0084,0.301,0.11766943,3.205,1.393151222,0.8275,0.003330318
FH0338,0.2231,0.0,3.985,3.28938483,0.7345,0.004059101
FH0511,0.5337,0.126691816,3.781,7.507537142,0.6086,0.004213582
FH0733,0.5599,0.076806038,3.139,4.953426568,0.7504,0.003524234
FH0810,0.7012,0.073488455,3.412,3.405480765,0.8763,0.003955436
FH0822,0.8104,0.11179657,2.06,6.2691805,0.5148,0.003467472
FH0826,0.3878,0.095208533,3.299,4.721234697,0.6573,0.001286163
FH0827,0.4757,0.107161456,1.941,4.140755021,0.4243,0.002728991
FH0828,0.316,0.165306647,2.988,5.456508953,0.9177,0.00362621
FH0829,0.469,0.084761788,3.305,3.637672636,0.7762,0.003508641
FH0830,0.3231,0.041613181,3.081,4.605138762,0.6758,0.002784633
FH0831,0.1876,0.102710682,2.922,3.869864506,0.832,0.002960381
FH0833,0.1108,0.0,1.997,3.676371281,0.2264,0.003662938
FH0834,0.2251,0.0,2.947,4.411645537,0.8682,0.004058499
FH0836,0.07648,0.724740365,2.016,3.792467216,0.6337,0.003440697
FH0837,0.3386,0.021411758,2.227,3.869864506,0.4269,0.001589115
FH0838,0.6014,0.453152607,1.899,5.611303534,0.6536,0.003590414
FH0839,0.6944,0.07410753,3.061,4.295549602,0.8198,0.003749425
FH0840,0.6336,0.080631726,3.277,7.584934432,0.86,0.002926149
FH0841,0.4937,0.130346464,4.156,4.450344182,0.7965,0.004476267
FH0842,0.4781,0.150570156,3.721,5.379111663,0.8235,0.008918845
FH0843,0.5481,0.038938424,3.395,6.50137237,0.7323,0.003416903
FH0846,0.05072,0.0,1.996,2.244521413,0.2408,0.003380772
FH0847,0.7152,0.125864239,2.091,8.088016818,0.4446,0.003512846
FH0848,0.3622,0.015931842,2.271,5.108221148,0.4298,0.003588399
FH0849,0.1345,0.0,2.76,3.676371281,0.3778,0.003581362
FH0852,0.3155,0.0,3.162,2.554110574,0.856,0.003046218
FH0853,0.6107,0.087534416,3.121,5.650002179,0.7382,0.003677574
FH0855,0.129,0.741373691,2.147,2.592809219,0.2482,0.003600883
FH0856,0.6296,0.177993337,2.059,8.629797848,0.4055,0.00355323
FH0857,0.1872,0.0,2.821,3.560275346,0.8172,0.003750978
FH0860,0.1166,0.877137814,2.045,2.708905154,0.1592,0.003542016
FH0861,0.1039,0.0,3.873,4.024659086,0.6592,0.003360801
FH0864,0.2821,0.0,2.857,4.450344182,0.4996,0.002620285
FH0866,0.3686,0.050635125,3.313,6.230481855,0.8767,0.003931767
FH0869,0.2782,0.0,2.878,2.786302444,0.6329,0.003226655
FH0870,0.4448,0.095738441,2.29,7.778427657,0.5809,0.002528311
FH0871,0.4082,0.011766459,3.169,5.185618438,0.6484,0.003735401
FH0873,0.2654,0.0,2.913,3.831165861,0.784,0.00309857
FH0874,0.07487,0.0,1.995,2.205822768,0.1425,0.003339342
FH0875,0.1731,0.03083747,3.987,3.44417941,0.6407,0.003814507
FH0877,0.2044,0.143510547,3.107,2.089726833,0.9424,0.003442164
FH0878,0.4095,0.042228248,3.258,3.985960441,0.8656,0.001908066
FH0887,0.5457,0.015939775,1.924,2.863699734,0.1304,0.003401812
FH0888,0.4455,0.071988412,3.134,3.637672636,0.7459,0.003364247
FH0892,0.03561,0.0,1.997,2.205822768,0.3231,0.003532582
FH0893,0.1067,0.318972562,2.022,2.825001089,0.6488,0.002979873
FH0895,0.3286,0.323272497,1.982,3.36678212,0.747,0.001285155
FH0897,0.2082,0.066699879,1.981,4.876029278,0.8272,0.003580609
FH0898,0.3704,0.066429642,3.116,3.947261796,0.9047,0.007382718
FH0899,0.318,0.101975871,2.848,4.914727923,0.7962,0.002625914
FH0900,0.04098,0.0,1.997,2.244521413,0.0469,0.0023339
FH0901,0.5485,0.098510203,3.693,8.475003268,0.7862,0.002416913
FH0905,0.05316,0.0,2.001,3.405480765,0.3213,0.003247323
FH0906,0.121,0.005728885,3.115,3.21198754,0.4369,0.003313741
FH0908,0.5657,0.01687911,3.829,4.605138762,0.8179,0.003774754
FH0913,0.1088,0.214758809,2.04,1.470548512,0.6115,0.003722885
FH0914,0.1817,0.493851877,2.971,0.619178321,0.815,0.003765678
FH0918,0.2365,0.0,2.89,1.973630898,0.675,0.003688502
FH0920,0.1159,0.429436134,3.022,0.348287806,0.7696,0.003215243
FHL0015,0.1423,0.028653353,3.098,1.315753932,0.5218,0.002653101
FHL0046,0.03093,0.0,2.002,0.425685096,0.164,0.002905393
FHL0048,0.4028,0.022310907,2.167,1.547945802,0.332,0.003454815
FHL0049,0.0975,0.161813338,2.152,1.083562062,0.7371,0.003296341
FHL0051,0.4523,0.114439886,3.454,1.818836318,0.8674,0.004073326
FHL0052,0.7345,0.140285348,2.248,3.560275346,0.6713,0.00350042
FHL0053,0.3567,0.10775016,3.082,2.863699734,0.7987,0.003225067
FHL0055,0.4665,0.054577048,2.087,20.04589814,0.3261,0.003404099
FHL0056,0.08112,0.0,1.994,0.348287806,0.0591,0.003507886
FHL0057,0.4253,0.106628936,3.043,2.360617349,0.9431,0.003393854
FHL0058,0.2472,0.848388625,2.032,0.928767481,0.925,0.003078695
FHL0059,0.3758,0.0,3.988,1.431849867,0.8231,0.003378365
FHL0060,0.1042,0.0,2.0,1.470548512,0.2434,0.003477143
FHL0062,0.04901,0.815620408,2.023,0.425685096,0.4922,0.003701928
FHL0063,0.074,0.0,1.997,0.503082386,0.3874,0.003434931
FHL0065,0.388,0.156054109,3.413,1.973630898,0.9095,0.003111426
FHL0066,0.2515,0.090090881,2.139,1.470548512,0.4298,0.001836699
FHL0067,0.6343,0.023645647,2.165,1.934932253,0.3061,0.005448518
FHL0068,0.4412,0.103724717,1.989,9.63596262,0.2962,0.002581189
FHL0069,0.6979,0.038420711,1.933,2.438014639,0.4446,0.003680218
FHL0071,0.0861,0.314167035,2.895,0.773972901,0.7589,0.003454492
FHL0072,0.6961,0.155701072,1.881,2.515411929,0.49,0.002893148
FHL0073,0.1933,0.226723895,2.49,1.586644447,0.7105,0.003803538
FHL0074,0.3438,0.027043997,2.27,1.818836318,0.3309,0.003573183
FHL0078,0.3853,0.095334721,3.416,2.051028188,0.8623,0.001192033
FHL0079,0.6562,0.070467748,2.058,1.586644447,0.4073,0.003084689
FHL0082,0.602,0.099267274,2.702,2.321918704,0.7496,0.00270316
FHL0086,0.1041,0.280261771,2.131,1.122260707,0.8516,0.002775436
FHL0087,0.4817,0.034295019,3.95,1.702740383,0.599,0.003130205
FHL0089,0.2549,0.113458653,3.699,1.547945802,0.7932,0.003148211
FHL0090,0.04897,0.0,2.003,0.696575611,0.4867,0.003444423
FHL0092,0.1355,0.97776636,1.986,5.533906244,0.2024,0.00363753
FHL0096,0.2259,0.066371392,3.24,1.470548512,0.8061,0.003709842
FHL0097,0.393,0.052338076,3.006,1.818836318,0.654,0.004103028
FHL0098,0.7154,0.027832432,1.961,1.547945802,0.1407,0.003703629
FHL0100,0.1819,,,54.56508953,0.3737,0.002504996
FHL0101,0.3957,,,54.91337734,0.7179,0.004152113
FHL0102,0.7496,0.205722656,2.053,1.354452577,0.4199,0.003333604
FHL0103,0.559,0.011600155,3.133,1.006164772,0.942,0.003455909
FHL0104,0.2975,0.120723768,3.163,1.354452577,0.6677,0.003743762
FHL0105,0.1469,0.004425738,4.007,1.238356642,0.9498,0.003371842
FHL0106,0.3251,0.03666523,3.203,2.012329543,0.8479,0.003317387
FHL0108,0.08895,0.218135199,2.147,0.541781031,0.5805,0.003280513
FHL0110,0.3335,0.073848139,3.165,1.818836318,0.6052,0.003332618
FHL0111,0.08121,0.479075806,2.049,0.5804796759999999,0.7264,0.003701957
FHL0112,0.3085,0.167867447,2.058,3.095891605,0.5506,0.003121468
FHL0113,0.3166,0.0,2.917,1.083562062,0.6496,0.004089715
FHL0114,0.1703,0.091855355,2.218,0.928767481,0.5543,0.003696474
FHL0117,0.3024,0.051777162,2.286,1.470548512,0.3024,0.003360504
FHL0120,0.1398,0.200413554,2.108,1.586644447,0.9457,0.002685341
FHL0126,0.06974,0.008315308,1.998,0.5804796759999999,0.747,0.003466804
FHL0129,0.4593,0.138481558,3.112,1.664041738,0.815,0.004000388
FHL0131,0.07324,0.639838851,2.038,1.896233608,0.2179,0.003362417
FHL0136,0.1903,0.090080599,3.094,1.547945802,0.6776,0.002713586
FHL0137,0.2128,0.0,2.839,1.199657997,0.5343,0.002639547
FHL0142,0.5552,0.092483298,2.017,2.399315994,0.3456,0.003341775
FHL0164,0.6646,0.067534271,1.95,1.702740383,0.3087,0.001324023
FHL0166,0.2717,0.035101821,2.296,3.36678212,0.4697,0.003598768
FHL0167,0.2807,0.072037659,1.91,1.431849867,0.9413,0.004263364
FHL0169,0.1884,0.112417548,2.79,1.393151222,0.7286,0.002709669
